20200521-211502,INFO,____Sample,__CPU_Temp,_senseTemp,_sensHumid,_sensePres
20200521-211502,INFO,1,44.55,32.13,49.95,0
20200521-211530,INFO,2,44.01,32.32,49.22,1019.9
20200521-211558,INFO,3,44.01,32.47,51.69,1019.85
20200521-211626,INFO,4,42.93,32.63,51.39,1019.92
20200521-211654,INFO,5,44.01,32.79,51.35,1019.97
20200521-211722,INFO,6,44.01,32.89,50.95,1019.93
20200521-211751,INFO,7,44.01,33.0,50.99,1019.95
20200521-211819,INFO,8,44.01,33.16,50.16,1019.93
20200521-211847,INFO,9,45.08,33.23,50.69,1019.92
20200521-211915,INFO,10,44.01,33.29,50.66,1019.92
20200521-211943,INFO,11,44.01,33.45,49.64,1019.94
20200521-212011,INFO,12,44.55,33.61,49.8,1019.92
20200521-212039,INFO,13,44.01,33.63,49.35,1019.92
20200521-212107,INFO,14,44.55,33.66,49.59,1019.94
20200521-212136,INFO,15,44.55,33.91,49.21,1019.91
20200521-212204,INFO,16,44.55,33.84,49.35,1019.94
20200521-212232,INFO,17,45.08,34.05,48.83,1019.93
20200521-212300,INFO,18,45.08,33.89,49.72,1019.97
20200521-212328,INFO,19,44.55,33.98,49.35,1020.0
20200521-212356,INFO,20,45.08,34.0,48.21,1019.96
20200521-212424,INFO,21,45.08,34.07,48.34,1020.0
20200521-212452,INFO,22,45.08,34.16,48.31,1019.96
20200521-212521,INFO,23,60.15,33.98,47.89,1019.99
20200521-212549,INFO,24,66.6,34.05,48.44,1019.97
20200521-212617,INFO,25,69.83,34.34,48.45,1019.99
20200521-212645,INFO,26,71.45,34.75,47.85,1020.01
20200521-212713,INFO,27,73.6,35.21,47.38,1019.97
20200521-212741,INFO,28,74.14,35.73,46.92,1019.97
20200521-212809,INFO,29,75.21,36.41,45.04,1019.93
20200521-212837,INFO,30,76.29,37.09,43.94,1019.92
20200521-212905,INFO,31,77.36,37.3,43.22,1020.03
20200521-212933,INFO,32,78.44,37.78,43.63,1020.0
20200521-213001,INFO,33,78.44,38.32,41.94,1019.97
20200521-213029,INFO,34,78.98,38.83,40.89,1019.97
20200521-213057,INFO,35,79.52,39.23,40.08,1019.98
20200521-213125,INFO,36,77.9,39.67,39.63,1019.97
20200521-213154,INFO,37,62.3,39.8,38.84,1019.96
20200521-213222,INFO,38,58.0,39.87,39.25,1019.95
20200521-213250,INFO,39,55.84,39.71,38.43,1019.94
20200521-213318,INFO,40,54.77,39.74,38.03,1019.94
20200521-213346,INFO,41,53.69,39.64,38.56,1019.99
20200521-213414,INFO,42,52.62,39.37,38.35,1019.96
20200521-213442,INFO,43,52.08,39.06,38.59,1020.02
20200521-213510,INFO,44,51.54,38.94,39.14,1020.01
20200521-213538,INFO,45,51.0,38.65,38.96,1020.02
20200521-213607,INFO,46,51.0,38.37,39.27,1020.02
20200521-213635,INFO,47,50.46,38.19,39.73,1020.04
20200521-213703,INFO,48,50.46,38.01,40.61,1020.05
20200521-213731,INFO,49,49.93,38.03,40.4,1020.01
20200521-213759,INFO,50,49.93,37.94,40.22,1020.07
20200521-213827,INFO,51,49.39,37.57,41.51,1020.08
20200521-213855,INFO,52,49.39,37.3,41.16,1020.08
20200521-213923,INFO,53,48.31,37.25,41.26,1020.09
20200521-213952,INFO,54,48.31,37.12,41.82,1020.13
20200521-214020,INFO,55,48.31,36.84,41.38,1020.06
20200521-214048,INFO,56,48.31,36.76,42.12,1020.06
20200521-214116,INFO,57,48.31,36.66,42.23,1020.06
20200521-214144,INFO,58,63.91,36.71,42.08,1020.09
20200521-214212,INFO,59,69.83,36.69,42.55,1020.1
20200521-214240,INFO,60,73.06,36.98,42.11,1020.17
20200521-214308,INFO,61,75.21,37.42,41.6,1020.2
20200521-214336,INFO,62,75.75,37.8,41.72,1020.2
20200521-214404,INFO,63,77.36,38.26,40.9,1020.2
20200521-214432,INFO,64,78.44,38.71,40.35,1020.18
20200521-214500,INFO,65,79.52,39.23,39.59,1020.21
20200521-214529,INFO,66,80.59,39.64,38.75,1020.25
20200521-214557,INFO,67,80.59,39.96,38.38,1020.26
20200521-214625,INFO,68,80.59,40.31,37.52,1020.24
20200521-214653,INFO,69,80.59,40.69,36.81,1020.25
20200521-214721,INFO,70,80.59,41.1,36.32,1020.27
20200521-214749,INFO,71,80.59,41.47,36.06,1020.31
20200521-214817,INFO,72,65.53,41.81,35.79,1020.34
20200521-214845,INFO,73,60.15,41.99,35.3,1020.35
20200521-214913,INFO,74,58.0,41.78,34.26,1020.36
20200521-214941,INFO,75,56.92,41.51,34.82,1020.37
20200521-215009,INFO,76,54.77,41.24,35.31,1020.36
20200521-215038,INFO,77,54.23,41.03,35.32,1020.34
20200521-215106,INFO,78,53.69,40.49,36.73,1020.36
20200521-215134,INFO,79,53.15,40.15,36.32,1020.37
20200521-215202,INFO,80,53.15,39.99,36.17,1020.38
20200521-215230,INFO,81,52.08,39.6,36.89,1020.41
20200521-215258,INFO,82,52.08,39.33,37.13,1020.39
20200521-215326,INFO,83,51.54,38.94,37.75,1020.42
20200521-215354,INFO,84,50.46,38.99,38.07,1020.41
20200521-215423,INFO,85,51.0,38.69,38.39,1020.45
20200521-215451,INFO,86,50.46,38.44,39.66,1020.47
20200521-215519,INFO,87,49.39,38.35,38.9,1020.47
20200521-215547,INFO,88,49.39,38.08,39.3,1020.45
20200521-215615,INFO,89,49.39,37.85,39.45,1020.47
20200521-215643,INFO,90,49.39,37.55,40.55,1020.5
20200521-215711,INFO,91,49.39,37.51,40.5,1020.52
20200521-215739,INFO,92,49.39,37.39,40.93,1020.57
20200521-215807,INFO,93,48.31,37.3,40.74,1020.57
20200521-215836,INFO,94,48.85,37.19,41.01,1020.54
20200521-215904,INFO,95,48.31,36.92,41.17,1020.53
20200521-215932,INFO,96,48.31,36.8,42.09,1020.46
20200521-220000,INFO,97,47.77,36.75,41.95,1020.52
20200521-220028,INFO,98,48.31,36.73,41.83,1020.54
20200521-220056,INFO,99,47.77,36.57,42.36,1020.52
20200521-220124,INFO,100,47.77,36.44,42.28,1020.54
20200521-220152,INFO,101,47.77,36.43,42.59,1020.5
20200521-220221,INFO,102,47.77,36.25,42.69,1020.53
20200521-220249,INFO,103,47.24,36.21,42.8,1020.54
20200521-220317,INFO,104,47.77,36.12,43.03,1020.57
20200521-220345,INFO,105,47.24,36.09,43.16,1020.58
20200521-220413,INFO,106,47.24,36.07,43.9,1020.59
20200521-220441,INFO,107,47.24,36.03,43.64,1020.61
20200521-220509,INFO,108,47.24,36.0,43.84,1020.59
20200521-220537,INFO,109,47.24,35.85,43.77,1020.61
20200521-220605,INFO,110,47.24,35.68,43.7,1020.65
20200521-220634,INFO,111,47.24,35.68,44.24,1020.67
20200521-220702,INFO,112,47.24,35.62,43.94,1020.69
20200521-220730,INFO,113,46.7,35.64,44.39,1020.68
20200521-220758,INFO,114,46.7,35.59,44.27,1020.67
20200521-220826,INFO,115,46.16,35.52,44.53,1020.68
20200521-220854,INFO,116,46.7,35.41,44.98,1020.71
20200521-220922,INFO,117,47.24,35.3,44.79,1020.7
20200521-220950,INFO,118,46.7,35.27,44.74,1020.73
