20200522-085523,INFO,____Sample,__DHT_Temp,_DHT_Humid
20200522-085603,INFO,1,21.5,72.9
20200522-085642,INFO,2,21.3,73.9
20200522-085722,INFO,3,21.2,74.1
20200522-085802,INFO,4,21.1,74.8
20200522-085841,INFO,5,21.1,75.1
20200522-085921,INFO,6,21.1,75.7
20200522-090001,INFO,7,21.1,75.1
20200522-090040,INFO,8,21.0,75.7
20200522-090120,INFO,9,21.0,75.8
20200522-090239,INFO,10,21.0,75.7
20200522-090319,INFO,11,21.0,75.6
20200522-090438,INFO,12,21.1,76.8
20200522-090518,INFO,13,21.1,76.8
20200522-090637,INFO,14,21.1,76.0
20200522-090757,INFO,15,21.1,77.0
20200522-090836,INFO,16,21.1,76.9
20200522-090916,INFO,17,21.2,77.0
20200522-090956,INFO,18,21.2,76.9
20200522-091115,INFO,19,21.2,75.9
20200522-091155,INFO,20,21.2,75.7
20200522-091234,INFO,21,21.2,75.7
20200522-091314,INFO,22,21.3,75.9
20200522-091354,INFO,23,21.3,75.9
20200522-091433,INFO,24,21.3,76.0
20200522-091553,INFO,25,21.4,76.2
20200522-091632,INFO,26,21.4,75.7
20200522-091752,INFO,27,21.4,75.2
20200522-091831,INFO,28,21.4,75.3
20200522-091911,INFO,29,21.4,75.3
20200522-091951,INFO,30,21.4,75.3
20200522-092030,INFO,31,21.4,75.4
20200522-092110,INFO,32,21.4,75.8
20200522-092150,INFO,33,21.4,75.8
20200522-092229,INFO,34,21.4,75.5
20200522-092309,INFO,35,21.4,75.7
20200522-092349,INFO,36,21.5,75.6
20200522-092428,INFO,37,21.5,75.3
20200522-092508,INFO,38,21.5,75.2
20200522-092548,INFO,39,21.5,75.0
20200522-092627,INFO,40,21.5,75.0
20200522-092707,INFO,41,21.5,75.2
20200522-092747,INFO,42,21.6,75.1
20200522-092826,INFO,43,21.6,75.4
20200522-092906,INFO,44,21.6,75.4
20200522-092946,INFO,45,21.6,75.5
20200522-093025,INFO,46,21.7,75.2
20200522-093105,INFO,47,21.7,75.2
20200522-093224,INFO,48,21.7,74.4
20200522-093304,INFO,49,21.7,74.5
20200522-093344,INFO,50,21.7,74.6
20200522-093423,INFO,51,21.8,74.7
20200522-093503,INFO,52,21.7,74.7
20200522-093543,INFO,53,21.8,74.9
20200522-093622,INFO,54,21.8,75.1
20200522-093702,INFO,55,21.8,75.3
20200522-093742,INFO,56,21.8,75.0
20200522-093821,INFO,57,21.8,75.1
20200522-093901,INFO,58,21.8,75.0
20200522-093941,INFO,59,21.8,75.0
20200522-094020,INFO,60,21.8,75.7
20200522-094100,INFO,61,21.9,75.9
20200522-094140,INFO,62,21.9,75.5
20200522-094219,INFO,63,21.8,74.5
20200522-094259,INFO,64,21.9,74.3
20200522-094339,INFO,65,21.8,74.0
20200522-094458,INFO,66,21.9,73.7
20200522-094538,INFO,67,21.8,73.2
20200522-094617,INFO,68,21.8,73.1
20200522-094657,INFO,69,21.8,73.5
20200522-094737,INFO,70,21.8,73.7
20200522-094816,INFO,71,21.8,73.2
20200522-094856,INFO,72,21.8,73.2
20200522-094936,INFO,73,21.8,73.7
20200522-095015,INFO,74,21.8,73.6
20200522-095055,INFO,75,21.9,73.6
20200522-095135,INFO,76,21.9,73.8
20200522-095214,INFO,77,21.9,73.3
20200522-095254,INFO,78,21.9,73.3
20200522-095333,INFO,79,21.9,73.9
20200522-095413,INFO,80,21.9,73.1
20200522-095453,INFO,81,21.9,73.2
20200522-101454,INFO,82,22.2,75.2
20200522-101523,INFO,83,22.1,75.7
20200522-101552,INFO,84,22.1,75.8
20200522-101621,INFO,85,22.1,76.1
20200522-101719,INFO,86,22.1,76.1
20200522-101748,INFO,87,22.1,76.6
20200522-101817,INFO,88,22.0,76.5
20200522-101846,INFO,89,22.0,76.1
20200522-101944,INFO,90,22.0,75.8
20200522-102013,INFO,91,22.0,76.2
20200522-102043,INFO,92,22.0,76.4
20200522-102239,INFO,93,22.2,76.6
20200522-102308,INFO,94,22.2,76.6
20200522-102337,INFO,95,22.2,77.0
20200522-102435,INFO,96,22.3,76.8
20200522-102504,INFO,97,22.3,76.6
20200522-102602,INFO,98,22.3,76.4
20200522-102631,INFO,99,22.4,76.6
20200522-102700,INFO,100,22.4,76.6
20200522-102758,INFO,101,22.4,76.4
20200522-102827,INFO,102,22.4,76.1
20200522-102857,INFO,103,22.4,76.0
20200522-102955,INFO,104,22.4,76.2
20200522-103024,INFO,105,22.4,76.0
20200522-103053,INFO,106,22.5,76.1
