20200521-205248,INFO,____Sample,__CPU_Temp,_senseTemp,_sensHumid,_sensePres,__DHT_Temp,_DHT_Humid, _temp_diff, __hum_diff, temp_factor, hum_factor
20200521-205328,INFO,1,46.16,31.7,52.77,1020.7,25.4,68.0,6.3,-15.23,2.3,0.43
20200521-205408,INFO,2,45.08,31.83,53.58,1020.72,25.4,67.0,6.43,-13.42,2.06,0.63
20200521-205447,INFO,3,45.62,31.67,53.9,1020.72,25.4,66.5,6.27,-12.6,2.22,0.66
20200521-205527,INFO,4,45.62,31.67,53.67,1020.74,25.4,68.1,6.27,-14.43,2.22,0.56
20200521-205607,INFO,5,45.62,31.5,53.32,1020.77,25.4,65.8,6.1,-12.48,2.31,0.62
20200521-205646,INFO,6,45.62,31.29,54.79,1020.78,25.4,66.0,5.89,-11.21,2.43,0.82
20200521-205726,INFO,7,46.16,31.32,54.89,1020.77,25.4,68.3,5.92,-13.41,2.51,0.65
20200521-205806,INFO,8,45.62,31.23,55.09,1020.82,25.4,68.4,5.83,-13.31,2.47,0.71
20200521-205925,INFO,9,46.16,31.45,56.26,1020.88,25.5,68.7,5.95,-12.44,2.47,0.81
20200521-210005,INFO,10,45.62,31.09,55.68,1020.89,25.5,67.6,5.59,-11.92,2.6,0.84
20200521-210044,INFO,11,45.08,31.01,55.71,1020.95,25.4,66.6,5.61,-10.89,2.51,0.98
20200521-210237,INFO,12,45.08,31.21,55.03,1020.92,25.3,66.8,5.91,-11.77,2.35,0.85
20200521-210316,INFO,13,45.08,30.65,55.66,1020.82,25.3,66.9,5.35,-11.24,2.7,0.94
20200521-210356,INFO,14,45.08,30.5,55.11,1020.81,25.3,65.7,5.2,-10.59,2.8,0.95
20200521-210436,INFO,15,45.08,30.25,55.35,1020.81,25.2,64.5,5.05,-9.15,2.94,1.12
20200521-210515,INFO,16,45.08,30.2,55.34,1020.8,25.1,64.9,5.1,-9.56,2.92,1.07
20200521-210555,INFO,17,45.08,30.34,55.42,1020.8,25.0,65.4,5.34,-9.98,2.76,1.04
20200521-210634,INFO,18,44.01,30.4,56.1,1020.8,25.0,65.6,5.4,-9.5,2.52,1.27
20200521-210714,INFO,19,45.08,30.45,56.11,1020.81,25.0,67.2,5.45,-11.09,2.68,0.99
20200521-210754,INFO,20,45.08,30.81,56.15,1020.82,25.1,67.7,5.71,-11.55,2.5,0.96
20200521-210833,INFO,21,44.55,30.72,55.41,1020.83,25.1,68.0,5.62,-12.59,2.46,0.86
20200521-210913,INFO,22,45.08,30.6,55.58,1020.79,25.1,66.2,5.5,-10.62,2.63,0.99
20200521-210953,INFO,23,45.08,30.38,55.51,1020.81,25.1,66.3,5.28,-10.79,2.78,0.97
20200521-211032,INFO,24,45.08,30.07,56.03,1020.84,25.1,65.3,4.97,-9.27,3.02,1.18
20200521-211152,INFO,25,44.01,30.03,56.74,1020.8,25.0,65.1,5.03,-8.36,2.78,1.52
20200521-211231,INFO,26,45.08,30.12,57.84,1020.84,25.1,66.0,5.02,-8.16,2.98,1.56
20200521-211351,INFO,27,45.08,30.05,57.04,1020.88,25.1,68.3,4.95,-11.26,3.04,1.06
20200521-211430,INFO,28,45.08,29.72,57.33,1020.82,25.1,66.0,4.62,-8.67,3.32,1.41
20200521-211510,INFO,29,44.01,29.81,57.46,1020.77,25.0,67.0,4.81,-9.54,2.95,1.41
20200521-211550,INFO,30,44.55,30.0,58.21,1020.82,24.9,67.1,5.1,-8.89,2.85,1.54
