2020-04-15 08:03:10 - INFO: ___Sample,___Sample,_CPU_Temp,_____Temp,____Press,____Humid
2020-04-15 08:03:10 - INFO: 1,1,31.48,26.31,992.49,42.41
2020-04-15 08:03:20 - INFO: 2,2,30.4,26.24,992.49,42.64
2020-04-15 08:03:30 - INFO: 3,3,30.4,26.22,992.51,42.15
2020-04-15 08:03:40 - INFO: 4,4,30.4,26.2,992.49,42.7
2020-04-15 08:03:50 - INFO: 5,5,29.32,26.24,992.46,42.41
2020-04-15 08:04:01 - INFO: 6,6,29.86,26.33,992.5,42.76
2020-04-15 08:04:11 - INFO: 7,7,30.94,26.22,992.54,42.28
2020-04-15 08:04:21 - INFO: 8,8,30.4,26.24,992.49,43.0
2020-04-15 08:04:31 - INFO: 9,9,30.4,26.26,992.48,42.76
2020-04-15 08:04:41 - INFO: 10,10,30.4,26.2,992.47,42.94
2020-04-15 08:04:51 - INFO: 11,11,30.4,26.15,992.52,42.71
2020-04-15 08:05:01 - INFO: 12,12,30.4,26.27,992.47,43.06
2020-04-15 08:05:12 - INFO: 13,13,29.86,26.13,992.49,42.08
2020-04-15 08:05:22 - INFO: 14,14,29.86,26.31,992.51,43.12
2020-04-15 08:05:32 - INFO: 15,15,30.4,26.22,992.51,42.85
2020-04-15 08:05:42 - INFO: 16,16,30.4,26.18,992.52,42.67
2020-04-15 08:05:52 - INFO: 17,17,30.4,26.31,992.5,42.44
2020-04-15 08:06:02 - INFO: 18,18,29.86,26.18,992.49,41.7
2020-04-15 08:06:12 - INFO: 19,19,30.4,26.2,992.49,42.57
2020-04-15 08:06:22 - INFO: 20,20,30.4,26.24,992.53,42.84
2020-04-15 08:06:33 - INFO: 21,21,30.4,26.24,992.52,42.77
2020-04-15 08:06:43 - INFO: 22,22,30.94,26.15,992.5,42.39
2020-04-15 08:06:53 - INFO: 23,23,30.4,26.18,992.5,43.05
2020-04-15 08:07:03 - INFO: 24,24,30.4,26.17,992.51,43.17
2020-04-15 08:07:13 - INFO: 25,25,30.4,26.2,992.49,43.79
2020-04-15 08:07:23 - INFO: 26,26,30.4,26.18,992.5,43.48
2020-04-15 08:07:33 - INFO: 27,27,30.4,26.2,992.51,42.69
2020-04-15 08:07:43 - INFO: 28,28,30.4,26.26,992.56,42.62
2020-04-15 08:07:54 - INFO: 29,29,30.4,26.09,992.5,42.64
2020-04-15 08:08:04 - INFO: 30,30,29.86,26.22,992.51,42.69
2020-04-15 08:08:14 - INFO: 31,31,30.4,26.18,992.48,42.88
